text,label
នាយិកា មជ្ឈមណ្ឌល សិទ្ធិ មនុស្ស កម្ពុជា អ្នកស្រី ចក់ សុភាព បង្ហាញ តុលាការ ក្រុង ភ្នំពេញ នាម ជា សាក្សី សាក្សី ផ្សេង សំណុំរឿង មេដឹកនាំ នយោបាយ ជំទាស់ កឹម សុខា ទីក្រុង ភ្នំពេញ ថ្ងៃទី ៥ ខែតុលា ឆ្នាំ ២០២២,neutral
ការឃុំ កញ្ញា សេង ធារី កាន់តែ យូរ រដ្ឋាភិបាល ហ៊ុន សែន ធ្វើឱ្យ មនុស្ស ម្នា កាន់តែ ច្រើន ដឹង ឮ កាន់តែ ខ្លាំង របប ផ្តាច់ការ ការណ៍ របប ឆន្ទៈ អនុញ្ញាតឱ្យ សំឡេង នយោបាយ ប្រឆាំង ព្រមទាំង វិធី ហ៊ុន សែន អំណាច ប្រើ កណ្តាប់ដៃ ដែក,positive
ប្រភព បង្ហើប បន្ទប់ ខ្ទង់ ចំណាយ ជាង ១០ម៉ឺន ដុល្លារ អាមេរិក ឯណោះ,neutral
1956 បាន បង្ហាញ ផូស្វ័រ បាន ផ្ទេរ ដើម បែក អារ ដើម បែក ផល អំឡុង ដំណាក់កាល ផើម ប៉ុន្តែ មិន ការផ្ទេរ ផូស្វ័រ ដើម បែក ដើម បែក ចាស់ ទេ,neutral
ដរាបណា មិន បាន តាំងចិត្ត ខិតខំ ប្រឹង រៀន ប្រឹង លំហាត់ ជារៀងរាល់ ថ្ងៃ ដើម ឆ្នាំ ទេ និទ្ទេស a ថ្ងៃ,negative
សូម បញ្ជាក់ ក្រុមការងារ ក្រសួង មហាផ្ទៃ បាន សហការ ជាមួយ អាជ្ញាធរ ខេត្ត ព្រះ សីហនុ បាន ចុះបង្ក្រាប ទីតាំង ល្បែង ច្បាប់ ៥ទីតាំង ក្រុង ព្រះសីហនុ បាន រកឃើញ ជន បរទេស ចម្រុះ ជាតិ សាសន៍ ៕,positive
សាលាដំបូង រាជធានី ភ្នំពេញ បាន ចោទប្រកាន់ សុន ឆ័យ បទ បរិហាកេរ្តិ៍ ពាក់ព័ន្ធ ការអត្ថាធិប្បាយ រិះគន់ ការបោះឆ្នោត ក្រុមប្រឹក្សា ឃុំ សង្កាត់ ពាក្យបណ្តឹង គណបក្ស ប្រជាជន កម្ពុជា ទាមទារ មេដឹកនាំ គណបក្ស ប្រឆាំង បង់ សង ជំងឺ ចិត្ត ៤ ពាន់ លាន រៀល ១ លាន ដុល្លារ អាមេរិក ស្ថាប័ន រៀបចំ ការបោះឆ្នោត គជប ទាមទារ សុន ឆ័យ សុំទោស ជាសាធារណៈ,negative
លិខិត បាន បញ្ជាក់ ក្រុមការងារ បង្ក្រាប តួនាទី ភារកិច្ច ផែនការ វិធានការ គោលការណ៍ ណែនាំ ដើម្បីឱ្យ អាជ្ញាធរ សមត្ថកិច្ច លំដាប់ថ្នាក់ អនុវត្ត បង្ក្រាប ការលេង ល្បែងស៊ីសង ច្បាប់ ប្រភេទ សហការ ជាមួយ អាជ្ញាធរ សមត្ថកិច្ច ថ្នាក់ ជាតិ រដ្ឋបាល ថ្នាក់ ជាតិ ការស្រាវជ្រាវ ចាត់ វិធានការបង្ក្រាប ទីតាំង លេង ល្បែងស៊ីសង ច្បាប់,positive
ជាទូទៅ កសិករ ភាគ ច្រើន មិន លក់ ដី ស្រែ ទេ ដី ស្រែ ជា ឆ្នាំង បាយ ប្រភព ចំណូល ដ៏ កសិករ,negative
យុវនារី សៀវភៅ បច្ចុប្បន្ន ក្លាយទៅជា ម្តាយ ដ៏ នា អនាគត,positive
ខ្ញុំ នឹក ស្រលាញ់ ប៉ុន្តែ ពេលវេលា បណ្តាលឲ្យ ខ្ញុំ បាន ស្គាល់ មនុស្ស ផ្តល់ រសជាតិ ជីវិត បែប ផ្សេង,positive
កសិករ ភាគ ច្រើន ក្រៅពីរ បរ ដាំដុះ ពួកគាត់ តែងតែ ការចិញ្ចឹម សត្វ គោ ក្របី ជ្រូក មាន់ ទា ពពែ សត្វ ចៀម ជាដើម ដោះស្រាយ ជីវភាព គ្រួសារ,positive
នា រសៀល ថ្ងៃ ឈប់សម្រាក រយៈពេល យូរ ខ្ញុំ បាន អង្គុយ មើល រូបថត ចាស់ ៗ ភាគ ច្រើន ជា រូបថត ខ្ញុំ បាន លេង កន្លែង កម្សាន្ត ផ្សេង ៗ លេង ខេត្ត មាត់ សមុទ្រ ព្រៃ ភ្នំ ការធ្វើ ទេសចរណ៍ ក្រៅ ប្រទេស,neutral
បច្ចុប្បន្ន ជនសង្ស័យ ទាំង០៣ នាក់ កម្លាំង នគរបាល ការិយាល័យ ជំនាញ បញ្ជូន ទៅកាន់ សាលាដំបូង ខេត្ត សៀមរាប ចាត់ការ បន្ត នីតិវិធី ច្បាប់,positive
ទំនាយ ទាយ រឿងរ៉ាវ ជាច្រើន ដោះស្រាយ ប៉ុន្តែ ដោះ មិន បាន ស្ថិរភាព មិន បង្ក បញ្ហា ធ្ងន់ធ្ងរ,positive
ឧទាហរណ៍ មនុស្ស ថ្លង់ ពិបាក ស្តាប់ ស្តាប់ មិន ឮ នគរបាល និយាយ,negative
អគ្គ លេខាធិការ ក្លឹប អង្គរ យហ្គឺរ បាន ដឹកនាំ យុវជន ២រូប ហ្វឹកហាត់ ជប៉ុន អ៊ុំ ក រុណា បាន និយាយ ឱកាស មាស ការសិក្សា រៀនសូត្រ ដកស្រង់ បទពិសោធ ៗ ទឹកដី ជប៉ុន ជា ប្រទេស ការអភិវឌ្ឍ ខ្លាំង ផ្នែក បាល់ទាត់,positive
ប្រជាពលរដ្ឋ ខ្មែរ តែង ជំនឿ កំឡុង យមបាល ដោះលែង ប្រេត ប្រសិនបើ ប្រេត ដើរ រក ៧វត្ត បាន ឃើញ សាច់ញាតិ វត្ត ឧទ្ទិស បុណ្យ កុសល ទេ ប្រេត ដាក់ ទំនាយ សាច់ញាតិ ជួប រឿង អាក្រក់ រស់ សេចក្តីសុខ,negative
វីដេអូ ខ្លី ម្ចាស់ ពានរង្វាន់ បាន ផលិត ចាក់ផ្សាយ ឱកាស បាន រំលេច ច្បាស់ វីរភាព ការលះបង់ ដ៏ ធំធេង តេជោ ហ៊ុន សែន សន្តិភាព ជូន ប្រទេសជាតិ ប្រជាជន ភ្លើង សង្គ រាម របប ប្រល័យ ពូជសាសន៍ បាន ឆក់ ជីវិត ពលរដ្ឋ ខ្មែរ ជាច្រើន លាន នាក់,positive
